"","date","id","quarter","mastatest_result","lab_result","fdat","lact"
"87",2022-03-14,11237,"RR","Coagulase Negative Staphylococcus (CNS)","Staph chromogenes",2021-11-03,3
"88",2022-03-14,17629,"FL","E. coli / Unspecified Gram negative","E.coli",2021-09-07,3
"89",2022-03-14,20169,"FR","E. coli / Unspecified Gram negative","E.coli",2021-08-08,3
"90",2022-03-14,20169,"RR","E. coli / Unspecified Gram negative","E.coli",2021-08-08,3
"91",2022-03-14,24942,"RR","Streptococcus species / Unspecified","Coryne xerosis",2022-02-08,2
"92",2022-03-14,28519,"RR","NG","NG",2021-12-17,1
"93",2022-03-14,28706,"FL","Other Gram positive bacteria / Unspecified","NG",2021-12-08,1
"94",2022-03-14,29804,"RR","Streptococcus species / Unspecified","E.coli",2022-03-09,1
"95",2022-03-14,86645,"FR","Streptococcus species / Unspecified","Coryne ammoniagenes/Aerococcus viridans",2022-02-13,5
"96",2022-03-15,1147,"FR","E. coli / Unspecified Gram negative","NG",2021-08-13,4
"97",2022-03-15,9799,"RR","NG","NG",2021-08-21,3
"98",2022-03-15,18169,"FL","NG","NG",2021-10-27,3
"99",2022-03-15,24152,"RR","NG","NG",2021-11-02,2
"100",2022-03-15,44424,"FR","NG","NG",2021-10-26,4
"101",2022-03-16,5784,"FR","Streptococcus species / Unspecified","Streptococcus infantarius",2021-07-23,4
"102",2022-03-16,8589,"FR","NG","NG",2021-08-17,5
"103",2022-03-16,22226,"FR","NG","NG",2021-10-14,2
"104",2022-03-16,23691,"RL","NG","NG",2021-08-05,2
"105",2022-03-16,29163,"RR","NG","E.coli",2022-01-21,1
"106",2022-03-16,86244,"FR","Streptococcus uberis","NG",2020-08-27,3
"107",2022-03-17,9673,"FR","Streptococcus species / Unspecified","Enterococcus saccharolyticus",2021-01-10,3
"108",2022-03-17,12175,"RL","E. coli / Unspecified Gram negative","Enterococcus saccharolyticus",2021-12-28,4
"109",2022-03-17,20861,"RL","E. coli / Unspecified Gram negative","NG",2021-09-24,3
"110",2022-03-17,29651,"RR","Streptococcus uberis","NG",2022-03-01,1
"111",2022-03-17,76283,"RR","Streptococcus uberis","NG",2022-01-30,5
"112",2022-03-17,76697,"FR","Streptococcus species / Unspecified","NG",2022-02-05,5
"113",2022-03-17,85731,"RL","E. coli / Unspecified Gram negative","E.coli",2021-06-29,4
"114",2022-03-18,1356,"FR","Coagulase Negative Staphylococcus (CNS)","Staph hyicus",2021-04-20,3
"115",2022-03-18,18541,"FR","Other Gram positive bacteria / Unspecified","NG",2021-09-06,3
"116",2022-03-18,28483,"RR","NG","NG",2022-01-03,1
"117",2022-03-18,29037,"RL","Other Gram positive bacteria / Unspecified","Pasteurella multocida",2022-02-14,1
"118",2022-03-19,11237,"RR","Streptococcus species / Unspecified","Staph chromogenes",2021-11-03,3
"119",2022-03-19,11507,"RL","E. coli / Unspecified Gram negative","E.coli",2021-12-27,3
"120",2022-03-19,20860,"FL","E. coli / Unspecified Gram negative","E.coli",2021-12-28,3
"121",2022-03-19,20879,"RR","NG","NG",2021-09-01,3
"122",2022-03-19,21216,"FR","Streptococcus species / Unspecified","Coryne spp.",2022-01-19,3
"123",2022-03-19,21271,"FL","NG","Streptococcus dysgalactiae",2021-02-22,2
"124",2022-03-19,21433,"RR","Streptococcus species / Unspecified","Coryne xerosis",2021-12-13,3
"125",2022-03-19,22346,"RL","E. coli / Unspecified Gram negative","NG",2021-06-24,2
"126",2022-03-19,76398,"FL","NG","NG",2021-11-15,4
